month_jalali,year_jalali,month_of_year,price_per_m2_source_units,geography,currency_status,source_url
139501,1395,1,4089000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139502,1395,2,4287000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139503,1395,3,4328000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139504,1395,4,4350000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139505,1395,5,4391000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139506,1395,6,4335000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139507,1395,7,4370000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139508,1395,8,4410000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139509,1395,9,4429000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139510,1395,10,4493000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139511,1395,11,4502000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139512,1395,12,4567000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139601,1396,1,4267700,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139602,1396,2,4435000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139603,1396,3,4465600,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139604,1396,4,4521900,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
