series,month_jalali,split,status
cbi_transaction_mean,140006,validation,warmup_less_than_six_observations
cbi_transaction_mean,140007,validation,warmup_less_than_six_observations
cbi_transaction_mean,140008,validation,warmup_less_than_six_observations
cbi_transaction_mean,140009,validation,warmup_less_than_six_observations
cbi_transaction_mean,140010,validation,warmup_less_than_six_observations
cbi_transaction_mean,140011,validation,warmup_less_than_six_observations
cbi_transaction_mean,140012,validation,scored
cbi_transaction_mean,140101,validation,scored
cbi_transaction_mean,140102,validation,scored
cbi_transaction_mean,140103,validation,scored
cbi_transaction_mean,140104,validation,scored
cbi_transaction_mean,140105,validation,scored
cbi_transaction_mean,140106,validation,scored
cbi_transaction_mean,140107,validation,scored
cbi_transaction_mean,140108,validation,scored
cbi_transaction_mean,140109,validation,scored
cbi_transaction_mean,140202,test,previous_calendar_month_missing
cbi_transaction_mean,140203,test,scored
cbi_transaction_mean,140204,test,scored
cbi_transaction_mean,140205,test,scored
cbi_transaction_mean,140206,test,scored
cbi_transaction_mean,140207,test,scored
cbi_transaction_mean,140208,test,scored
cbi_transaction_mean,140209,test,scored
cbi_transaction_mean,140210,test,scored
cbi_transaction_mean,140212,test,previous_calendar_month_missing
cbi_transaction_mean,140301,test,scored
cbi_transaction_mean,140302,test,scored
cbi_transaction_mean,140303,test,scored
cbi_transaction_mean,140304,test,scored
cbi_transaction_mean,140305,test,scored
kilid_listing_indicator,140406,validation,warmup_less_than_six_observations
kilid_listing_indicator,140407,validation,warmup_less_than_six_observations
kilid_listing_indicator,140408,validation,warmup_less_than_six_observations
kilid_listing_indicator,140409,validation,warmup_less_than_six_observations
kilid_listing_indicator,140410,validation,warmup_less_than_six_observations
kilid_listing_indicator,140411,validation,warmup_less_than_six_observations
kilid_listing_indicator,140412,validation,scored
kilid_listing_indicator,140501,validation,scored
kilid_listing_indicator,140502,validation,scored
kilid_listing_indicator,140503,test,scored
kilid_listing_indicator,140504,test,scored
kilid_listing_indicator,140505,test,scored
